,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
252,0.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,0.1,6.0,20.0
253,0.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,0.1,6.0,20.0
254,1.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,0.1,6.0,20.0
255,1.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,0.1,6.0,20.0
256,2.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,0.1,6.0,20.0
257,2.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,0.1,6.0,20.0
258,0.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,20.0
259,0.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,1.0,6.0,20.0
260,1.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,20.0
261,1.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,1.0,6.0,20.0
262,2.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,1.0,6.0,20.0
263,2.0,0.0,15.0,0.0,2.0,0.0,1.0,7.0,1.0,6.0,20.0
264,0.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
265,0.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.1,6.0,20.0
266,1.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
267,1.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.1,6.0,20.0
268,2.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
269,2.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.1,6.0,20.0
270,0.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
271,0.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
272,1.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
273,1.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
274,2.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
275,2.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
276,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
277,0.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
278,1.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
279,1.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
280,2.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
281,2.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
282,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
283,0.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
284,1.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
285,1.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
286,2.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
287,2.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
288,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
289,0.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
290,1.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
291,1.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
292,2.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
293,2.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
294,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,7.8,20.0
295,0.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,1.0,7.8,20.0
